,V,A,D,text
0,0.5,0.5,0.55,First of America said some of the managers will take other jobs with First of America.
1,0.6,0.6,0.5,Melua's deep sea gig sets record
2,0.55,0.44999999999999996,0.5,"“As a boy in Bosnia, I walked my dog."
3,0.5,0.5,0.44999999999999996,Then her fingers tensed and her arms began to shake.
4,0.65,0.6,0.65,That's one of the reasons  Shaq's been a huge hit on Twitter .
5,0.5,0.4375,0.5625,Arthur looked up from the results of a night’s frenzied labors and looked Allan in the eye.
6,0.5625,0.5625,0.625,The code to model this task-switching might look something like this:
7,0.55,0.55,0.55,The factory will produce a wide range of specialized semiconductors used in everything from the largest mainframe computers to cell phones and video-game consoles.
8,0.44999999999999996,0.55,0.55,And it will be a major setback for wolves nationwide — at a time when the American public overwhelmingly favors wolf reintroduction and protection.
9,0.55,0.55,0.5,He was recently named one of the 70 greatest Redskins.
10,0.65,0.6,0.6,"“You ever heard of Dunbar? Well, we've got the perfect-size group right here.”"
11,0.44999999999999996,0.55,0.5,Gently Weeps' lyrics sheet up for sale
12,0.5,0.35,0.4,"Instead, both these stories feature many moments where readers have great sympathy for her, despite her depraved sexuality."
13,0.5,0.5,0.55,"Yeah, I remember Sambito from the Astros (when the Braves were in the old NL West because it made sense to have a team 3,000 miles from most of their division rivals)."
14,0.5825,0.5,0.5425,"This is an impressive number; but for each girl served, more are left unserved."
15,0.5625,0.5,0.4375,"Pascoe said, ""Only then will New Jersey voters be able to decide Torricelli's fitness for office."""
16,0.4375,0.4375,0.375,"Despite our many victories, we still have far to go to ensure a healthy future for the wildlife and wild places of this nation."
17,0.44999999999999996,0.44999999999999996,0.5,No seconds
18,0.5,0.55,0.5,"She gasped and the dark glow went out, taking the blood with it in a flash of heat and red steam."
19,0.5,0.5,0.5,"The claims of deliberate distortion don't hold up when viewing the whole scene, though -- as ""Hanlon's Razor"" states, one should never attribute to malice what can be attributed to incompetence."
20,0.5,0.4375,0.4375,I am ready for the mindwipe now.
21,0.55,0.35,0.5,Nathan Road has many electronics shops.
22,0.5,0.5,0.6,Inorganic nature has only the language of color.
23,0.44999999999999996,0.44999999999999996,0.4,U.S. at odds with cleric's aide
24,0.3125,0.625,0.5,“NO!”
25,0.5,0.5,0.5825,"Tell them, and they will create an audience."
26,0.5,0.5,0.5,"However, the representatives were shunted to the side and ignored in Washington, since Youngstown’s political influence had died with its industry."
27,0.55,0.6,0.55,"During that time, the panel said, Torricelli and members of his Senate staff took a series of actions to help Chang, contacting U.S. government officials, writing letters to foreign government officials and bringing Chang or his business representatives into meetings with foreign officials."
28,0.5,0.4,0.5,"Behind me, Amy was kneeling beside Nepthys, whose arm and rib cage were knitting back together like a wooden toy that falls apart when its string is released but draws itself together at a slight tug."
29,0.5,0.5,0.55,"Such fund are often used for college tuition, vocational training or a deposit on an apartment."
30,0.5,0.4375,0.5,"But before these coins came to light, the royal legation of Egypt turned up with one at the Department of the Treasury, and somehow got an official to issue an export license for the coin to enhance the collection of King Farouk."
31,0.5,0.5,0.6,"Defenders hopes to raise at least $100,000 to help Alaskans For Wildlife, a coalition of Alaska citizens, win a citizens’ ballot initiative this November."
32,0.5,0.5,0.5,"Farther east is Hong Kong’s largest park, Victoria Park, with sports grounds and other facilities."
33,0.5,0.4,0.5,"Colon has won four of five decisions for the Expos, but Floyd batted only .208 for them while hitting three home runs, including one Tuesday night, and driving in four runs."
34,0.5,0.4,0.5,she asked Adrienne.
35,0.5825,0.5825,0.5,"""Nardo!"""
36,0.5,0.6,0.55,"Allan stumbled forward, jaw slightly slack, until his outstretched hands encountered the rough bark of a twisted, three-trunked willow whose waists were each larger than Allan himself."
37,0.5825,0.5825,0.5825,"DTV—Digital Television from Time Warner Cable—is now available in your neighborhood, and we’d like you to be one of the first to experience it!"
38,0.4175,0.4575,0.5825,Apple's dark secret? The 39% claim
39,0.5,0.5825,0.5,"""I suppose I sound like I'm bragging when I talk of the things I'm tired of."""
40,0.5,0.5,0.55,"Regardless, when Adrienne asked what the ship's purpose was, we all gave it a measure of thought."
41,0.5,0.3325,0.5425,'South'
42,0.5,0.55,0.5,"Chek Lap Kok airport sits on reclaimed land just off Lantau; plans to build a bridge may change Lantau, but at present it is sparsely populated and makes a perfect getaway."
43,0.5,0.3325,0.5825,"All of these chemical receptors will be arranged in an array on a pair of chemical stalks, with four of each type of receptor per stalk."
